iou_threshold,false_positive_predictions,fp_overlapping_non_primary_xml,share_of_fp,non_primary_label_counts,domain_counts,model_label,split,source_csv
0.1,141032,3319,0.023534,D44:1794; Repair:1243; D50:226; D43:29; D01:27,Japan:1849; China_MotorBike:750; China_Drone:493; India:227,YOLOv8n seed20260512,lodo_all,data_processed\calibration\g3_frozen_subset_lodo_all_label_boundary_overlap.csv
0.3,141032,996,0.007062,D44:539; Repair:373; D50:67; D01:13; D43:4,Japan:557; China_MotorBike:225; China_Drone:148; India:66,YOLOv8n seed20260512,lodo_all,data_processed\calibration\g3_frozen_subset_lodo_all_label_boundary_overlap.csv
0.5,141032,295,0.002092,D44:157; Repair:108; D50:25; D01:5,Japan:163; China_MotorBike:72; China_Drone:36; India:24,YOLOv8n seed20260512,lodo_all,data_processed\calibration\g3_frozen_subset_lodo_all_label_boundary_overlap.csv
0.1,151091,2120,0.014031,D44:1252; Repair:518; D50:262; D01:61; D43:27,Japan:1184; India:418; China_MotorBike:291; China_Drone:227,YOLOv8n seed20260512,ordinary,data_processed\calibration\g3_frozen_subset_ordinary_label_boundary_overlap.csv
0.3,151091,662,0.004381,D44:409; Repair:167; D50:64; D01:18; D43:4,Japan:370; India:125; China_MotorBike:93; China_Drone:74,YOLOv8n seed20260512,ordinary,data_processed\calibration\g3_frozen_subset_ordinary_label_boundary_overlap.csv
0.5,151091,236,0.001562,D44:129; Repair:70; D50:28; D01:7; D43:2,Japan:124; India:42; China_MotorBike:35; China_Drone:35,YOLOv8n seed20260512,ordinary,data_processed\calibration\g3_frozen_subset_ordinary_label_boundary_overlap.csv
0.1,144041,3875,0.026902,D44:2285; Repair:1152; D43:343; D50:95,Japan:2170; China_MotorBike:768; India:553; China_Drone:384,YOLOv8n seed20260513,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_label_boundary_overlap.csv
0.3,144041,1209,0.008393,D44:794; Repair:321; D43:63; D50:31,Japan:696; China_MotorBike:211; India:192; China_Drone:110,YOLOv8n seed20260513,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_label_boundary_overlap.csv
0.5,144041,364,0.002527,D44:259; Repair:87; D50:11; D43:7,Japan:202; India:75; China_MotorBike:54; China_Drone:33,YOLOv8n seed20260513,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_label_boundary_overlap.csv
0.1,153927,2888,0.018762,D44:1713; Repair:683; D50:226; D43:146; D11:69; D01:51,Japan:1925; China_MotorBike:552; India:280; China_Drone:131,YOLOv8n seed20260513,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_label_boundary_overlap.csv
0.3,153927,863,0.005607,D44:496; Repair:245; D50:62; D01:22; D11:20; D43:18,Japan:527; China_MotorBike:200; India:91; China_Drone:45,YOLOv8n seed20260513,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_label_boundary_overlap.csv
0.5,153927,263,0.001709,D44:150; Repair:76; D50:28; D01:6; D11:2; D43:1,Japan:159; China_MotorBike:60; India:28; China_Drone:16,YOLOv8n seed20260513,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_label_boundary_overlap.csv
0.1,152905,2865,0.018737,D44:1661; Repair:494; D50:260; D01:177; D43:173; D11:100,Japan:1692; India:679; China_Drone:269; China_MotorBike:225,YOLOv8n seed20260514,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_label_boundary_overlap.csv
0.3,152905,874,0.005716,D44:510; Repair:166; D50:68; D01:54; D43:44; D11:32,Japan:500; India:208; China_Drone:88; China_MotorBike:78,YOLOv8n seed20260514,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_label_boundary_overlap.csv
0.5,152905,270,0.001766,D44:162; Repair:55; D50:23; D01:20; D11:5; D43:5,Japan:145; India:70; China_Drone:30; China_MotorBike:25,YOLOv8n seed20260514,lodo_all,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_label_boundary_overlap.csv
0.1,157396,3372,0.021424,D44:1725; Repair:1157; D50:336; D43:102; D01:52,Japan:1685; China_MotorBike:903; India:530; China_Drone:254,YOLOv8n seed20260514,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_label_boundary_overlap.csv
0.3,157396,1029,0.006538,D44:562; Repair:342; D50:95; D43:16; D01:14,Japan:513; China_MotorBike:252; India:174; China_Drone:90,YOLOv8n seed20260514,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_label_boundary_overlap.csv
0.5,157396,302,0.001919,D44:165; Repair:96; D50:33; D43:5; D01:3,Japan:149; China_MotorBike:61; India:57; China_Drone:35,YOLOv8n seed20260514,ordinary,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_label_boundary_overlap.csv
0.1,111282,2116,0.019015,D44:1037; Repair:851; D50:192; D01:19; D43:17,Japan:1104; China_MotorBike:428; China_Drone:423; India:161,YOLOv8s seed20260512,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_lodo_all_label_boundary_overlap.csv
0.3,111282,648,0.005823,D44:364; Repair:199; D50:71; D01:14,Japan:398; China_Drone:114; China_MotorBike:85; India:51,YOLOv8s seed20260512,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_lodo_all_label_boundary_overlap.csv
0.5,111282,204,0.001833,D44:104; Repair:55; D50:34; D01:11,Japan:125; China_Drone:33; India:24; China_MotorBike:22,YOLOv8s seed20260512,lodo_all,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_lodo_all_label_boundary_overlap.csv
0.1,118746,1462,0.012312,D44:742; Repair:353; D50:312; D01:55,Japan:705; India:404; China_MotorBike:177; China_Drone:176,YOLOv8s seed20260512,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_label_boundary_overlap.csv
0.3,118746,492,0.004143,D44:233; D50:130; Repair:111; D01:18,Japan:235; India:146; China_Drone:69; China_MotorBike:42,YOLOv8s seed20260512,ordinary,data_processed\calibration\g4b_bridge_yolov8s_seed20260512_ordinary_label_boundary_overlap.csv
