threshold,accepted_predictions,referred_or_rejected_predictions,prediction_coverage,tp,fp,precision,residual_error_rate,gt_recall_after_acceptance,seed,split,kind,source_csv
0.05,2766.0,149147.0,0.018208,352.0,2414.0,0.12726,0.87274,0.250356,20260512,ordinary,risk,data_processed\calibration\g3_frozen_subset_ordinary_risk_coverage.csv
0.1,1080.0,150833.0,0.007109,211.0,869.0,0.19537,0.80463,0.150071,20260512,ordinary,risk,data_processed\calibration\g3_frozen_subset_ordinary_risk_coverage.csv
0.2,400.0,151513.0,0.002633,123.0,277.0,0.3075,0.6925,0.087482,20260512,ordinary,risk,data_processed\calibration\g3_frozen_subset_ordinary_risk_coverage.csv
0.5,60.0,151853.0,0.000395,23.0,37.0,0.383333,0.616667,0.016358,20260512,ordinary,risk,data_processed\calibration\g3_frozen_subset_ordinary_risk_coverage.csv
0.05,2956.0,138725.0,0.020864,184.0,2772.0,0.062246,0.937754,0.138763,20260512,lodo_all,risk,data_processed\calibration\g3_frozen_subset_lodo_all_risk_coverage.csv
0.1,1344.0,140337.0,0.009486,104.0,1240.0,0.077381,0.922619,0.078431,20260512,lodo_all,risk,data_processed\calibration\g3_frozen_subset_lodo_all_risk_coverage.csv
0.2,602.0,141079.0,0.004249,49.0,553.0,0.081395,0.918605,0.036953,20260512,lodo_all,risk,data_processed\calibration\g3_frozen_subset_lodo_all_risk_coverage.csv
0.5,254.0,141427.0,0.001793,9.0,245.0,0.035433,0.964567,0.006787,20260512,lodo_all,risk,data_processed\calibration\g3_frozen_subset_lodo_all_risk_coverage.csv
0.05,2847.0,151886.0,0.018399,308.0,2539.0,0.108184,0.891816,0.242329,20260513,ordinary,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_risk_coverage.csv
0.1,1128.0,153605.0,0.00729,201.0,927.0,0.178191,0.821809,0.158143,20260513,ordinary,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_risk_coverage.csv
0.2,428.0,154305.0,0.002766,108.0,320.0,0.252336,0.747664,0.084972,20260513,ordinary,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_risk_coverage.csv
0.5,61.0,154672.0,0.000394,24.0,37.0,0.393443,0.606557,0.018883,20260513,ordinary,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_ordinary_risk_coverage.csv
0.05,2172.0,142480.0,0.015015,188.0,1984.0,0.086556,0.913444,0.140719,20260513,lodo_all,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_risk_coverage.csv
0.1,728.0,143924.0,0.005033,91.0,637.0,0.125,0.875,0.068114,20260513,lodo_all,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_risk_coverage.csv
0.2,206.0,144446.0,0.001424,34.0,172.0,0.165049,0.834951,0.025449,20260513,lodo_all,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_risk_coverage.csv
0.5,24.0,144628.0,0.000166,6.0,18.0,0.25,0.75,0.004491,20260513,lodo_all,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260513_lodo_all_risk_coverage.csv
0.05,3630.0,154550.0,0.022949,328.0,3302.0,0.090358,0.909642,0.260111,20260514,ordinary,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_risk_coverage.csv
0.1,1657.0,156523.0,0.010475,221.0,1436.0,0.133374,0.866626,0.175258,20260514,ordinary,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_risk_coverage.csv
0.2,668.0,157512.0,0.004223,141.0,527.0,0.211078,0.788922,0.111816,20260514,ordinary,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_risk_coverage.csv
0.5,60.0,158120.0,0.000379,28.0,32.0,0.466667,0.533333,0.022205,20260514,ordinary,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_ordinary_risk_coverage.csv
0.05,2473.0,151098.0,0.016103,220.0,2253.0,0.088961,0.911039,0.180624,20260514,lodo_all,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_risk_coverage.csv
0.1,955.0,152616.0,0.006219,123.0,832.0,0.128796,0.871204,0.100985,20260514,lodo_all,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_risk_coverage.csv
0.2,330.0,153241.0,0.002149,57.0,273.0,0.172727,0.827273,0.046798,20260514,lodo_all,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_risk_coverage.csv
0.5,51.0,153520.0,0.000332,14.0,37.0,0.27451,0.72549,0.011494,20260514,lodo_all,risk,data_processed\calibration\g4a_r08_repeat_yolov8n_seed20260514_lodo_all_risk_coverage.csv
