seed,model_label,heldout_domain,precision_B,recall_B,mAP50_B,mAP50_95_B
20260512,YOLOv8n 320px 4ep,China_Drone,0.09132,0.08842,0.06988,0.02368
20260512,YOLOv8n 320px 4ep,China_MotorBike,0.37095,0.12291,0.06573,0.01919
20260512,YOLOv8n 320px 4ep,Czech_Republic,0.38321,0.10712,0.05425,0.02169
20260512,YOLOv8n 320px 4ep,India,0.10847,0.07158,0.06006,0.01875
20260512,YOLOv8n 320px 4ep,Japan,0.087,0.15015,0.07969,0.02688
20260512,YOLOv8n 320px 4ep,Norway,0.03581,0.02312,0.01201,0.00417
20260512,YOLOv8n 320px 4ep,United_States,0.12909,0.1016,0.06796,0.02988
20260512,YOLOv8s 640px 8ep,China_Drone,0.98818,0.25,0.29724,0.17945
20260512,YOLOv8s 640px 8ep,China_MotorBike,0.121,0.20148,0.11452,0.03311
20260512,YOLOv8s 640px 8ep,Czech_Republic,0.25262,0.22457,0.15345,0.05016
20260512,YOLOv8s 640px 8ep,India,0.29866,0.0872,0.05927,0.02276
20260512,YOLOv8s 640px 8ep,Japan,0.15712,0.26214,0.14461,0.0609
20260512,YOLOv8s 640px 8ep,Norway,0.17577,0.09246,0.06014,0.02354
20260512,YOLOv8s 640px 8ep,United_States,0.18624,0.41273,0.18831,0.0673
20260513,YOLOv8n 320px 4ep,China_Drone,0.10745,0.16322,0.08268,0.02151
20260513,YOLOv8n 320px 4ep,China_MotorBike,0.15655,0.1099,0.06698,0.01314
20260513,YOLOv8n 320px 4ep,Czech_Republic,0.24112,0.10672,0.08776,0.02076
20260513,YOLOv8n 320px 4ep,India,0.41761,0.09984,0.04057,0.01397
20260513,YOLOv8n 320px 4ep,Japan,0.45545,0.10769,0.06994,0.0232
20260513,YOLOv8n 320px 4ep,Norway,0.05071,0.01478,0.00863,0.00297
20260513,YOLOv8n 320px 4ep,United_States,0.16495,0.17237,0.11768,0.04262
20260513,YOLOv8s 640px 8ep,China_Drone,0.54611,0.10703,0.12258,0.05088
20260513,YOLOv8s 640px 8ep,China_MotorBike,0.11521,0.23069,0.08544,0.02353
20260513,YOLOv8s 640px 8ep,Czech_Republic,0.24876,0.24048,0.14921,0.04476
20260513,YOLOv8s 640px 8ep,India,0.39965,0.07348,0.05144,0.02723
20260513,YOLOv8s 640px 8ep,Japan,0.25598,0.23473,0.17006,0.06141
20260513,YOLOv8s 640px 8ep,Norway,0.09362,0.0696,0.03061,0.01069
20260513,YOLOv8s 640px 8ep,United_States,0.22625,0.34029,0.19315,0.08691
20260514,YOLOv8n 320px 4ep,China_Drone,0.09857,0.13821,0.07555,0.02648
20260514,YOLOv8n 320px 4ep,China_MotorBike,0.09872,0.14132,0.0792,0.02182
20260514,YOLOv8n 320px 4ep,Czech_Republic,0.16663,0.10297,0.07844,0.02677
20260514,YOLOv8n 320px 4ep,India,0.45381,0.05905,0.0619,0.02374
20260514,YOLOv8n 320px 4ep,Japan,0.0717,0.1569,0.05269,0.02018
20260514,YOLOv8n 320px 4ep,Norway,0.04164,0.01516,0.0104,0.00302
20260514,YOLOv8n 320px 4ep,United_States,0.17283,0.16361,0.10267,0.03752
20260514,YOLOv8s 640px 8ep,China_Drone,0.13476,0.16651,0.1064,0.0414
20260514,YOLOv8s 640px 8ep,China_MotorBike,0.16177,0.15885,0.14425,0.05441
20260514,YOLOv8s 640px 8ep,Czech_Republic,0.22071,0.19501,0.13954,0.05031
20260514,YOLOv8s 640px 8ep,India,0.20256,0.09174,0.06978,0.02428
20260514,YOLOv8s 640px 8ep,Japan,0.20901,0.19563,0.14796,0.05433
20260514,YOLOv8s 640px 8ep,Norway,0.19101,0.08389,0.06256,0.02153
20260514,YOLOv8s 640px 8ep,United_States,0.24568,0.29957,0.22654,0.08858
