seed,model_label,setting,n_runs,precision_B,recall_B,mAP50_B,mAP50_95_B
20260512,YOLOv8n 320px 4ep,ordinary,1,0.16639,0.15943,0.07447,0.0244
20260512,YOLOv8n 320px 4ep,LODO mean,7,0.1722642857142857,0.0949857142857143,0.05851142857142858,0.020605714285714286
20260512,YOLOv8s 640px 8ep,ordinary,1,0.33343,0.26034,0.18135,0.06958
20260512,YOLOv8s 640px 8ep,LODO mean,7,0.31137,0.21865428571428572,0.14536285714285715,0.06246000000000001
20260513,YOLOv8n 320px 4ep,ordinary,1,0.21653,0.14427,0.08539,0.02973
20260513,YOLOv8n 320px 4ep,LODO mean,7,0.22769142857142857,0.11064571428571428,0.06774857142857144,0.019738571428571428
20260513,YOLOv8s 640px 8ep,ordinary,1,0.28098,0.25675,0.18136,0.06989
20260513,YOLOv8s 640px 8ep,LODO mean,7,0.26936857142857146,0.1851857142857143,0.11464142857142856,0.04363
20260514,YOLOv8n 320px 4ep,ordinary,1,0.16424,0.20228,0.08956,0.02811
20260514,YOLOv8n 320px 4ep,LODO mean,7,0.1577,0.11103142857142857,0.06583571428571429,0.02279
20260514,YOLOv8s 640px 8ep,ordinary,1,0.26344,0.28786,0.19637,0.07467
20260514,YOLOv8s 640px 8ep,LODO mean,7,0.19507142857142856,0.17017142857142858,0.12814714285714285,0.04783428571428571
