domain,label,n
China_Drone,Block crack,3
China_Drone,D00,1426
China_Drone,D10,1263
China_Drone,D20,293
China_Drone,D40,86
China_Drone,Repair,769
China_MotorBike,D00,2678
China_MotorBike,D10,1096
China_MotorBike,D20,641
China_MotorBike,D40,235
China_MotorBike,Repair,277
Czech_Republic,D00,988
Czech_Republic,D10,399
Czech_Republic,D20,161
Czech_Republic,D40,197
India,D00,1555
India,D01,179
India,D0w0,1
India,D10,68
India,D11,45
India,D20,2021
India,D40,3187
India,D43,57
India,D44,1062
India,D50,28
Japan,D00,4049
Japan,D10,3979
Japan,D20,6199
Japan,D40,2243
Japan,D43,736
Japan,D44,3995
Japan,D50,3553
Norway,D00,8570
Norway,D10,1730
Norway,D20,468
Norway,D40,461
United_States,D00,6750
United_States,D10,3295
United_States,D20,834
United_States,D40,135
