heldout_domain,class,TP,FP,FN,precision,recall,support_gt,predictions
China_Drone,D00,54,14629,10,0.003678,0.84375,64,14683
China_Drone,D10,37,3961,8,0.009255,0.822222,45,3998
China_Drone,D20,7,2187,12,0.003191,0.368421,19,2194
China_Drone,D40,2,441,0,0.004515,1.0,2,443
China_MotorBike,D00,82,9184,41,0.00885,0.666667,123,9266
China_MotorBike,D10,24,3174,28,0.007505,0.461538,52,3198
China_MotorBike,D20,21,7245,10,0.00289,0.677419,31,7266
China_MotorBike,D40,0,388,9,0.0,0.0,9,388
Czech_Republic,D00,41,5623,30,0.007239,0.577465,71,5664
Czech_Republic,D10,10,3677,19,0.002712,0.344828,29,3687
Czech_Republic,D20,14,8446,5,0.001655,0.736842,19,8460
Czech_Republic,D40,3,4044,5,0.000741,0.375,8,4047
India,D00,39,12136,13,0.003203,0.75,52,12175
India,D10,0,4596,0,0.0,0.0,0,4596
India,D20,27,2703,21,0.00989,0.5625,48,2730
India,D40,7,505,78,0.013672,0.082353,85,512
Japan,D00,30,13726,8,0.002181,0.789474,38,13756
Japan,D10,18,2722,19,0.006569,0.486486,37,2740
Japan,D20,41,2345,18,0.017184,0.694915,59,2386
Japan,D40,13,721,10,0.017711,0.565217,23,734
Norway,D00,51,6209,185,0.008147,0.216102,236,6260
Norway,D10,4,1417,47,0.002815,0.078431,51,1421
Norway,D20,3,5797,19,0.000517,0.136364,22,5800
Norway,D40,0,1837,16,0.0,0.0,16,1837
United_States,D00,91,16017,26,0.005649,0.777778,117,16108
United_States,D10,21,2209,33,0.009417,0.388889,54,2230
United_States,D20,8,3700,6,0.002157,0.571429,14,3708
United_States,D40,1,1393,1,0.000717,0.5,2,1394
