train_per_domain,setting,metric,n,mean,std,ci95_low,ci95_high,median,min,max,scope,heldout_domain
80,LODO mean,precision_B,3,0.1985171428571428,0.0236487610669142,0.1397703636546481,0.2572639220596376,0.1946871428571428,0.1770171428571428,0.2238471428571428,seed_setting,
80,LODO mean,recall_B,3,0.1561938095238095,0.0168839139923384,0.1142518420534926,0.1981357769941264,0.1609114285714285,0.1374528571428571,0.1702171428571428,seed_setting,
80,LODO mean,mAP50_B,3,0.1030838095238095,0.0237875274441199,0.0439923155305751,0.1621753035170439,0.1013614285714285,0.0802042857142857,0.1276857142857143,seed_setting,
80,LODO mean,mAP50_95_B,3,0.0397557142857142,0.0141166316008848,0.0046880573630696,0.0748233712083588,0.0357071428571428,0.0281057142857142,0.0554542857142857,seed_setting,
80,ordinary,precision_B,3,0.21867,0.0109462916094904,0.1914779042090486,0.2458620957909513,0.22256,0.20631,0.22714,seed_setting,
80,ordinary,recall_B,3,0.2128133333333333,0.0052893887485543,0.1996737632709415,0.225952903395725,0.21155,0.20827,0.21862,seed_setting,
80,ordinary,mAP50_B,3,0.1311566666666666,0.0044857143615407,0.1200135344570231,0.1422997988763102,0.13038,0.12711,0.13598,seed_setting,
80,ordinary,mAP50_95_B,3,0.0468466666666666,0.0030482836700893,0.039274310245685,0.0544190230876483,0.048,0.04339,0.04915,seed_setting,
160,LODO mean,precision_B,3,0.2586033333333333,0.0588919110958118,0.1123077160631794,0.4048989506034873,0.2693685714285714,0.1950714285714285,0.31137,seed_setting,
160,LODO mean,recall_B,3,0.1913371428571428,0.0248198894897965,0.1296811193740635,0.2529931663402222,0.1851857142857143,0.1701714285714285,0.2186542857142857,seed_setting,
160,LODO mean,mAP50_B,3,0.1293838095238095,0.0153980047960987,0.0911330451241081,0.1676345739235109,0.1281471428571428,0.1146414285714285,0.1453628571428571,seed_setting,
160,LODO mean,mAP50_95_B,3,0.0513080952380952,0.0098839637522495,0.0267549681395589,0.0758612223366315,0.0478342857142857,0.04363,0.06246,seed_setting,
160,ordinary,precision_B,3,0.2926166666666667,0.0364171530097196,0.20215144352064,0.3830818898126933,0.28098,0.26344,0.33343,seed_setting,
160,ordinary,recall_B,3,0.2683166666666667,0.0170199422247354,0.2260367863343895,0.3105965469989439,0.26034,0.25675,0.28786,seed_setting,
160,ordinary,mAP50_B,3,0.18636,0.0086689157338158,0.1648252195056422,0.2078947804943577,0.18136,0.18135,0.19637,seed_setting,
160,ordinary,mAP50_95_B,3,0.07138,0.0028534365246137,0.064291670721121,0.0784683292788789,0.06989,0.06958,0.07467,seed_setting,
320,LODO mean,precision_B,3,0.2710438095238096,0.0444820410983141,0.1605442937358593,0.3815433253117599,0.2561928571428571,0.2358871428571429,0.3210514285714286,seed_setting,
320,LODO mean,recall_B,3,0.2141038095238095,0.0012535153290933,0.2109899048225515,0.2172177142250675,0.2143828571428571,0.2127342857142857,0.2151942857142857,seed_setting,
320,LODO mean,mAP50_B,3,0.1762357142857142,0.0118697178585177,0.1467497005255338,0.2057217280458947,0.1715971428571428,0.1673857142857142,0.1897242857142857,seed_setting,
320,LODO mean,mAP50_95_B,3,0.0732157142857142,0.0107334692073201,0.0465522986498993,0.0998791299215291,0.0672914285714285,0.06675,0.0856057142857142,seed_setting,
320,ordinary,precision_B,3,0.3771033333333333,0.0477111374139553,0.2585822976128247,0.495624369053842,0.35836,0.34161,0.43134,seed_setting,
