domain,target_k,status,init,source_weight,dataset_root,source_train_images,target_train_images,target_eval_images,target_train_boxes,target_eval_boxes,epochs,imgsz,batch,workers,device,seed,elapsed_sec,baseline_lodo_mAP50_B,target_ft_mAP50_B,delta_mAP50_B,ordinary_endpoint_mAP50_B,ordinary_gap_recovery_fraction,precision_B,recall_B,mAP50_95_B,val_box_loss,val_cls_loss,val_dfl_loss,results_csv
China_Drone,20,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_China_Drone_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_China_Drone_targetk20_seed20260512,3840,20,60,34,96,4,640,8,0,0,20260512,389.744,0.452930,0.420550,-0.032380,0.332500,,0.45297,0.4545,0.21737,1.91608,2.50503,1.86936,outputs\r36\yolov8s_target_domain_evidence\heldout_China_Drone_targetk20_yolov8s_ft4ep_seed20260512_640px\results.csv
China_MotorBike,20,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_China_MotorBike_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_China_MotorBike_targetk20_seed20260512,3840,20,60,56,159,4,640,8,0,0,20260512,383.780,0.218360,0.212150,-0.006210,0.332500,-0.054407,0.24108,0.22185,0.08551,2.18868,2.44829,2.02425,outputs\r36\yolov8s_target_domain_evidence\heldout_China_MotorBike_targetk20_yolov8s_ft4ep_seed20260512_640px\results.csv
Czech_Republic,20,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_Czech_Republic_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_Czech_Republic_targetk20_seed20260512,3840,20,60,33,94,4,640,8,0,0,20260512,381.566,0.195500,0.255210,0.059710,0.332500,0.435839,0.43089,0.3118,0.07783,2.21171,2.28521,1.96784,outputs\r36\yolov8s_target_domain_evidence\heldout_Czech_Republic_targetk20_yolov8s_ft4ep_seed20260512_640px\results.csv
India,20,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_India_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_India_targetk20_seed20260512,3840,20,60,38,147,4,640,8,0,0,20260512,377.597,0.069590,0.074190,0.004600,0.332500,0.017496,0.35716,0.10133,0.03005,2.32606,3.81213,2.22668,outputs\r36\yolov8s_target_domain_evidence\heldout_India_targetk20_yolov8s_ft4ep_seed20260512_640px\results.csv
Japan,20,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_Japan_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_Japan_targetk20_seed20260512,3840,20,60,49,108,4,640,8,0,0,20260512,380.146,0.240070,0.272190,0.032120,0.332500,0.347506,0.37273,0.28105,0.12568,1.9078,2.58944,1.94197,outputs\r36\yolov8s_target_domain_evidence\heldout_Japan_targetk20_yolov8s_ft4ep_seed20260512_640px\results.csv
Norway,20,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_Norway_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_Norway_targetk20_seed20260512,3840,20,60,98,227,4,640,8,0,0,20260512,328.909,0.098050,0.121750,0.023700,0.332500,0.101088,0.25809,0.11111,0.0427,2.50133,2.48321,1.82248,outputs\r36\yolov8s_target_domain_evidence\heldout_Norway_targetk20_yolov8s_ft4ep_seed20260512_640px\results.csv
United_States,20,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_United_States_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_United_States_targetk20_seed20260512,3840,20,60,44,143,4,640,8,0,0,20260512,383.366,0.285360,0.322020,0.036660,0.332500,0.777683,0.37418,0.34988,0.14357,1.7453,2.01515,1.72164,outputs\r36\yolov8s_target_domain_evidence\heldout_United_States_targetk20_yolov8s_ft4ep_seed20260512_640px\results.csv
India,10,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_India_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_India_targetk10_seed20260512,3840,10,70,20,165,4,640,8,0,0,20260512,381.821,0.069590,0.069250,-0.000340,0.332500,-0.001293,0.24118,0.11151,0.02998,2.32433,3.86065,2.20638,outputs\r36\yolov8s_target_domain_evidence\heldout_India_targetk10_yolov8s_ft4ep_seed20260512_640px\results.csv
India,40,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_India_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_India_targetk40_seed20260512,3840,40,40,91,94,4,640,8,0,0,20260512,375.301,0.069590,0.113850,0.044260,0.332500,0.168347,0.2275,0.20965,0.04939,2.37817,3.30494,2.15707,outputs\r36\yolov8s_target_domain_evidence\heldout_India_targetk40_yolov8s_ft4ep_seed20260512_640px\results.csv
Norway,10,ran,source_lodo_best_yolov8s,runs\detect\outputs\g4\r14lc640_yolov8s_seed20260512_lodo_train\heldout_Norway_yolov8s_seed20260512_8ep_640px\weights\best.pt,data_processed\r36_target_domain_evidence\heldout_Norway_targetk10_seed20260512,3840,10,70,65,260,4,640,8,0,0,20260512,324.513,0.098050,0.113260,0.015210,0.332500,0.064875,0.2411,0.12064,0.04395,2.5623,2.77495,1.92364,outputs\r36\yolov8s_target_domain_evidence\heldout_Norway_targetk10_yolov8s_ft4ep_seed20260512_640px\results.csv
