domain,seed,k,mAP50
China_Drone,20260512,0,0.45293
China_Drone,20260512,5,0.38865
China_Drone,20260512,10,0.39294
China_Drone,20260512,20,0.39776
China_Drone,20260512,40,0.41509
China_Drone,20260512,80,0.37616
China_Drone,20260512,160,0.47749
China_Drone,20260512,320,0.47949
China_Drone,20260513,0,0.25053
China_Drone,20260513,5,0.27169
China_Drone,20260513,10,0.23021
China_Drone,20260513,20,0.28394
China_Drone,20260513,40,0.27349
China_Drone,20260513,80,0.20886
China_Drone,20260513,160,0.28208
China_Drone,20260513,320,0.3176
China_Drone,20260514,0,0.20769
China_Drone,20260514,5,0.26468
China_Drone,20260514,10,0.22687
China_Drone,20260514,20,0.20209
China_Drone,20260514,40,0.24281
China_Drone,20260514,80,0.2294
China_Drone,20260514,160,0.23555
China_Drone,20260514,320,0.26291
China_MotorBike,20260512,0,0.21836
China_MotorBike,20260512,5,0.24019
China_MotorBike,20260512,10,0.2229
China_MotorBike,20260512,20,0.23041
China_MotorBike,20260512,40,0.21089
China_MotorBike,20260512,80,0.20417
China_MotorBike,20260512,160,0.23287
China_MotorBike,20260512,320,0.37135
China_MotorBike,20260513,0,0.22942
China_MotorBike,20260513,5,0.2453
China_MotorBike,20260513,10,0.20144
China_MotorBike,20260513,20,0.22346
China_MotorBike,20260513,40,0.22228
China_MotorBike,20260513,80,0.17586
China_MotorBike,20260513,160,0.26576
China_MotorBike,20260513,320,0.32571
China_MotorBike,20260514,0,0.28737
China_MotorBike,20260514,5,0.31782
China_MotorBike,20260514,10,0.37843
China_MotorBike,20260514,20,0.25659
China_MotorBike,20260514,40,0.28207
China_MotorBike,20260514,80,0.32984
China_MotorBike,20260514,160,0.38005
China_MotorBike,20260514,320,0.42195
Czech_Republic,20260512,0,0.1955
Czech_Republic,20260512,5,0.18897
Czech_Republic,20260512,10,0.15583
Czech_Republic,20260512,20,0.19077
Czech_Republic,20260512,40,0.18474
Czech_Republic,20260512,80,0.23892
Czech_Republic,20260512,160,0.21439
Czech_Republic,20260512,320,0.24946
Czech_Republic,20260513,0,0.24008
Czech_Republic,20260513,5,0.2059
Czech_Republic,20260513,10,0.20495
Czech_Republic,20260513,20,0.19568
Czech_Republic,20260513,40,0.26209
Czech_Republic,20260513,80,0.19409
Czech_Republic,20260513,160,0.24581
Czech_Republic,20260513,320,0.20816
Czech_Republic,20260514,0,0.20408
Czech_Republic,20260514,5,0.17149
Czech_Republic,20260514,10,0.1721
Czech_Republic,20260514,20,0.18695
Czech_Republic,20260514,40,0.19895
Czech_Republic,20260514,80,0.24857
Czech_Republic,20260514,160,0.20531
Czech_Republic,20260514,320,0.2217
India,20260512,0,0.06959
India,20260512,5,0.07519
India,20260512,10,0.05316
India,20260512,20,0.0823
India,20260512,40,0.05667
India,20260512,80,0.0709
India,20260512,160,0.10827
India,20260512,320,0.13413
India,20260513,0,0.09789
India,20260513,5,0.07422
India,20260513,10,0.07687
India,20260513,20,0.09012
India,20260513,40,0.07331
India,20260513,80,0.11419
India,20260513,160,0.14954
India,20260513,320,0.12036
India,20260514,0,0.1057
India,20260514,5,0.07895
India,20260514,10,0.0502
India,20260514,20,0.055
India,20260514,40,0.07241
India,20260514,80,0.141
India,20260514,160,0.15447
India,20260514,320,0.13592
Japan,20260512,0,0.24007
Japan,20260512,5,0.25649
Japan,20260512,10,0.22639
Japan,20260512,20,0.25098
Japan,20260512,40,0.27358
Japan,20260512,80,0.22385
Japan,20260512,160,0.2903
Japan,20260512,320,0.27678
Japan,20260513,0,0.28477
Japan,20260513,5,0.25133
Japan,20260513,10,0.23217
Japan,20260513,20,0.27309
Japan,20260513,40,0.26809
Japan,20260513,80,0.26113
Japan,20260513,160,0.28938
Japan,20260513,320,0.33413
Japan,20260514,0,0.25826
Japan,20260514,5,0.27573
Japan,20260514,10,0.22811
Japan,20260514,20,0.23801
Japan,20260514,40,0.23055
Japan,20260514,80,0.2235
Japan,20260514,160,0.22702
Japan,20260514,320,0.2862
Norway,20260512,0,0.09805
Norway,20260512,5,0.09234
Norway,20260512,10,0.0951
Norway,20260512,20,0.10801
Norway,20260512,40,0.10557
Norway,20260512,80,0.09152
Norway,20260512,160,0.10235
Norway,20260512,320,0.13077
Norway,20260513,0,0.04709
Norway,20260513,5,0.04733
Norway,20260513,10,0.05455
Norway,20260513,20,0.06793
Norway,20260513,40,0.03554
Norway,20260513,80,0.05833
Norway,20260513,160,0.05682
Norway,20260513,320,0.07851
Norway,20260514,0,0.11504
Norway,20260514,5,0.08019
Norway,20260514,10,0.08416
Norway,20260514,20,0.08373
Norway,20260514,40,0.09703
Norway,20260514,80,0.11055
Norway,20260514,160,0.12087
Norway,20260514,320,0.11506
United_States,20260512,0,0.28536
United_States,20260512,5,0.31383
United_States,20260512,10,0.29053
United_States,20260512,20,0.31058
United_States,20260512,40,0.27728
United_States,20260512,80,0.30169
United_States,20260512,160,0.35204
United_States,20260512,320,0.40099
United_States,20260513,0,0.40933
United_States,20260513,5,0.38612
United_States,20260513,10,0.35831
United_States,20260513,20,0.3796
United_States,20260513,40,0.379
United_States,20260513,80,0.38305
United_States,20260513,160,0.39491
United_States,20260513,320,0.4077
United_States,20260514,0,0.39194
United_States,20260514,5,0.38088
United_States,20260514,10,0.41551
United_States,20260514,20,0.39655
United_States,20260514,40,0.42748
United_States,20260514,80,0.46483
United_States,20260514,160,0.47102
United_States,20260514,320,0.46271
