seed,domain,gt_class,TP,FN
20260513,China_Drone,D00,52,9
20260513,China_Drone,D10,38,8
20260513,China_Drone,D20,6,2
20260513,China_MotorBike,D00,65,40
20260513,China_MotorBike,D10,22,29
20260513,China_MotorBike,D20,16,15
20260513,China_MotorBike,D40,1,11
20260513,Czech_Republic,D00,49,23
20260513,Czech_Republic,D10,7,24
20260513,Czech_Republic,D20,7,3
20260513,Czech_Republic,D40,7,6
20260513,India,D00,28,10
20260513,India,D20,35,20
20260513,India,D40,1,51
20260513,Japan,D00,40,14
20260513,Japan,D10,23,17
20260513,Japan,D20,30,13
20260513,Japan,D40,6,22
20260513,Norway,D00,45,262
20260513,Norway,D10,8,66
20260513,Norway,D20,2,13
20260513,Norway,D40,0,10
20260513,United_States,D00,88,21
20260513,United_States,D10,24,31
20260513,United_States,D20,11,5
20260514,China_Drone,D00,45,8
20260514,China_Drone,D10,47,6
20260514,China_Drone,D20,4,6
20260514,China_Drone,D40,3,2
20260514,China_MotorBike,D00,88,31
20260514,China_MotorBike,D10,44,17
20260514,China_MotorBike,D20,10,4
20260514,China_MotorBike,D40,1,6
20260514,Czech_Republic,D00,64,14
20260514,Czech_Republic,D10,19,21
20260514,Czech_Republic,D20,7,5
20260514,Czech_Republic,D40,2,4
20260514,India,D00,29,6
20260514,India,D20,37,13
20260514,India,D40,8,60
20260514,Japan,D00,31,16
20260514,Japan,D10,21,16
20260514,Japan,D20,46,16
20260514,Japan,D40,0,19
20260514,Norway,D00,44,151
20260514,Norway,D10,5,46
20260514,Norway,D20,2,17
20260514,Norway,D40,0,19
20260514,United_States,D00,69,23
20260514,United_States,D10,23,24
20260514,United_States,D20,15,4
